iter	Passed	Remaining
0	8	8580
1	18	9389
2	27	9252
3	37	9279
4	45	8967
5	53	8903
6	62	8848
7	70	8713
8	77	8571
9	86	8599
10	94	8507
11	102	8440
12	110	8372
13	118	8334
14	126	8309
15	134	8258
16	142	8214
17	151	8269
18	159	8228
19	166	8178
20	174	8136
21	184	8196
22	193	8215
23	201	8183
24	209	8177
25	219	8218
26	228	8248
27	236	8218
28	245	8213
29	253	8204
30	261	8178
31	269	8148
32	277	8145
33	285	8125
34	293	8101
35	301	8084
36	311	8102
37	319	8084
38	326	8055
39	335	8060
40	343	8041
41	351	8021
42	360	8016
43	369	8026
44	377	8014
45	385	7995
46	394	7991
47	402	7989
48	411	7985
49	420	7980
50	429	7983
51	437	7970
52	445	7953
53	452	7934
54	461	7930
55	470	7936
56	478	7919
57	487	7914
58	495	7906
59	503	7890
60	511	7875
61	519	7862
62	527	7851
63	536	7849
64	544	7831
65	553	7827
66	561	7814
67	570	7817
68	578	7810
69	587	7806
70	595	7793
71	603	7778
72	611	7762
73	619	7754
74	628	7746
75	635	7729
76	643	7716
77	651	7706
78	659	7692
79	668	7688
80	676	7675
81	684	7659
82	692	7646
83	699	7632
84	709	7636
85	718	7633
86	727	7635
87	736	7628
88	745	7628
89	754	7628
90	762	7617
91	771	7615
92	779	7603
93	787	7587
94	795	7573
95	803	7569
96	811	7556
97	819	7541
98	827	7526
99	835	7516
100	844	7517
101	853	7515
102	861	7500
103	869	7494
104	877	7481
105	885	7470
106	894	7466
107	902	7455
108	911	7447
109	919	7437
110	929	7445
111	937	7433
112	945	7420
113	953	7407
114	961	7398
115	969	7388
116	977	7377
117	985	7364
118	999	7400
119	1007	7388
120	1015	7376
121	1025	7380
122	1034	7375
123	1042	7363
124	1050	7353
125	1058	7341
126	1074	7383
127	1082	7375
128	1090	7363
129	1099	7357
130	1107	7346
131	1116	7342
132	1125	7334
133	1133	7324
134	1144	7330
135	1152	7320
136	1159	7306
137	1167	7291
138	1175	7282
139	1183	7268
140	1191	7259
141	1199	7247
142	1208	7240
143	1215	7227
144	1223	7215
145	1231	7203
146	1241	7204
147	1250	7201
148	1258	7189
149	1266	7177
150	1276	7176
151	1284	7165
152	1292	7153
153	1300	7141
154	1307	7130
155	1316	7120
156	1323	7107
157	1331	7097
158	1339	7084
159	1347	7071
160	1354	7060
161	1362	7047
162	1370	7036
163	1378	7024
164	1386	7014
165	1394	7003
166	1401	6991
167	1410	6984
168	1418	6972
169	1426	6962
170	1434	6952
171	1442	6944
172	1450	6932
173	1458	6923
174	1466	6911
175	1474	6904
176	1482	6892
177	1490	6882
178	1498	6872
179	1506	6861
180	1513	6849
181	1521	6839
182	1530	6830
183	1537	6819
